Distancia (km),Quantidade transportada (ton),Custo combustivel (R$/L),"Tipo transporte (Caminhao = 1, Ferrovia = 0)",Funcionarios envolvidos,"Regiao (1 = Sul, 2 = Sudeste, 3 = Norte)",Custo logistico (R$)
1176,966,5.973375223234048,0,10,3,93178.07061434818
1509,284,4.501746943432221,1,10,2,88125.344146845
910,62,5.019312901607521,0,12,3,48277.2257298919
1344,150,5.817730812638008,1,17,1,69131.66482639527
1180,978,5.570379768845683,0,22,3,96746.8046865265
1145,585,4.974812606201615,0,8,2,72989.19285698906
1774,925,5.890743299229555,0,21,2,114719.81778729628
1094,572,4.114473387033619,1,9,1,77817.94851541558
1688,834,5.861997239425168,1,7,1,109719.32497419337
171,501,4.1010147847656135,1,8,3,46148.11305107474
516,480,5.094609488229368,1,9,1,51490.71902891503
1288,842,5.780881896002171,0,18,1,86894.28259143684
380,655,4.525441887122605,0,19,2,39239.010979561346
1532,762,4.944496997890317,0,24,2,92786.90920070108
137,582,4.6486577582739335,1,21,3,52423.54915562426
1446,901,5.9042878341527025,0,10,3,102777.29341271083
1173,772,5.6472911895061815,0,14,3,90136.8220394144
921,701,5.418003022652759,1,20,3,96246.15523537854
1737,342,5.175253973230218,1,21,2,90795.3275528246
180,859,5.641183578648296,0,18,3,59730.725690659165
1735,962,4.784534083047094,1,24,3,118111.52931841946
1382,150,4.8951037102121235,1,16,1,59762.84654789416
819,551,5.460003442161723,1,13,3,76721.0466930755
393,353,4.715509526587429,1,19,1,45560.495778213866
1565,920,4.127801884096748,0,16,2,102738.48226950022
1487,589,4.148669217772143,0,18,3,84027.18275246785
855,602,4.2307256026114075,0,22,1,62288.69571462736
435,404,5.739362646687326,0,24,3,45615.77576116236
1265,352,4.944452851512409,0,10,1,63132.640944169485
1005,545,5.425764738689473,1,8,3,81616.48348678098
326,707,4.785818671209786,0,16,2,46961.38341756627
1234,817,4.517421894831269,0,17,2,88759.11520004128
509,276,4.694384335124424,1,23,1,39276.49267636334
1387,285,5.588364690634367,1,17,1,75861.29485992255
71,922,5.250432250062876,1,16,2,68056.3577082757
302,941,5.875279559915804,0,24,3,67064.61304257278
797,504,5.359409557153668,1,7,1,64302.123716302565
906,62,5.140363263509387,1,7,2,48234.75773134205
1634,259,5.220392017971669,1,18,1,83835.11499859902
524,790,5.884742878936829,0,22,2,69374.63156559385
1132,446,5.576401859733412,1,23,2,79775.19781134598
560,149,4.048082474732876,1,14,1,32942.03024250971
1755,80,5.0682793922713945,0,21,1,66165.18281913397
1549,947,5.376676823093129,1,19,2,100419.51834345216
749,577,5.49739695687831,0,23,3,51715.205525527854
1025,698,4.426284238627874,0,13,2,78782.82811087396
1856,378,5.734354708902704,1,8,3,87012.52985779032
239,215,5.911686294350328,0,19,3,27880.224735918997
1007,508,4.473430611689739,1,23,3,83168.42259422193
736,871,5.765230915034492,1,20,1,85431.45208327773
1007,149,4.193957525032191,1,12,2,56806.97975916815
612,670,4.111413672230491,1,21,2,69743.60245997473
1949,904,4.258447600205499,0,5,3,112928.68328283516
1640,222,4.115482158934072,1,11,3,76331.83366044868
1317,798,5.690024474311552,1,22,3,98057.10182600176
881,211,4.118100288916544,1,16,2,55071.36749643954
1578,954,4.543328382727311,0,20,3,106473.69025963207
1204,777,4.207512687071713,0,5,2,80784.55034506279
1558,825,4.5908440726275295,1,19,2,95003.7695394954
1892,312,4.181118935201841,0,11,1,85374.93145726179
696,853,5.336006501486028,0,21,3,78984.43602556936
70,323,4.26665363268515,1,7,3,36063.0790361519
890,52,5.7036918516777755,1,15,3,54493.986550372865
216,77,5.634382101453282,1,10,1,24354.559786948237
1347,375,4.027323370941219,1,10,3,79761.35939302717
437,989,5.791452711030229,1,19,2,71739.65786634128
650,198,4.057888633486734,0,11,3,39812.61294191376
365,589,4.479291569915113,1,15,2,56732.95425641403
63,537,4.064778275551991,1,21,2,47962.670040846875
291,871,4.671686974078632,1,22,2,79365.28531029903
826,487,5.0277330514265435,1,23,2,67853.43124163098
1419,114,5.593289738030276,1,12,3,65979.07035639386
614,405,4.675963100939672,0,24,1,43175.94571615564
947,582,5.410980049346233,1,12,1,66334.78340772894
1413,301,4.375008914237961,0,15,2,67148.73745705123
141,284,5.501196913488252,1,7,3,40552.750344473636
1440,276,4.471993211818475,1,18,1,73363.08267025219
1005,574,4.287089511887536,1,13,3,82893.08088381696
1528,362,4.370817700748109,0,5,1,73272.44581896946
1501,98,4.3641262577637105,1,5,2,66961.23217189245
558,167,5.025725758753982,1,16,2,46130.34184462801
825,103,5.689595162376293,1,15,2,59108.20220128275
84,699,4.159210153985011,1,5,1,47939.33559998695
255,614,5.413912636986845,1,24,3,63322.77896958836
1154,93,5.308692919305715,1,16,2,57958.46829113559
1635,864,5.745039903658725,1,21,3,118451.25276737873
1945,102,4.488295121013815,0,19,3,69626.70384110513
1461,635,4.900219717370059,1,6,2,93631.50356801592
1075,607,5.851654748887035,1,22,1,76327.82674644951
